"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TaxaLevel"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter",6871.46227564119,1.69291410021266,1.48873455417519,1.1371497326134,0.255475696624947,1,"genus"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",853622.105505158,-2.16113898369488,1.90307060832037,-1.13560630606464,0.256121368492784,1,"species"
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified",179.419668874945,3.29725334386095,2.91160002317483,1.13245408628126,0.257443576961153,1,"class"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli",246517.809248613,-2.21934111407445,1.97342988313723,-1.12461108096037,0.260753876051959,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",775283.274587778,-1.52395688038102,1.38869907226685,-1.09739893315647,0.272467039586894,1,"species"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae",1097.00557554691,3.17067925994101,2.91043736486508,1.08941676540357,0.275970141464815,1,"family"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",3042.25937139918,3.13903846575558,2.91095005133702,1.07835531712878,0.280875219478981,1,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",35517.1562768704,-1.79987448545855,1.7002223313678,-1.05861124880684,0.289776861826757,1,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",295193.673408333,-1.6400426822936,1.56878425371885,-1.04542270768325,0.295827646220673,1,"species"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis",9178.80485804406,-2.57632840442598,2.55698670306849,-1.00756425574457,0.313663695917597,1,"species"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae",2278.06736685354,-2.29018261211702,2.27732738046054,-1.00564487643137,0.314586428449762,1,"family"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis",273.17138821016,2.890484152273,2.9169271017644,0.990934655351721,0.321717488883915,1,"species"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella",50.8269336162245,2.88522044935911,2.91583147070987,0.989501786485859,0.322417696227704,1,"genus"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella",26956.8499393693,-1.47394278589317,1.49159968392956,-0.988162441822279,0.323073098948096,1,"genus"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus",419.492807180212,-2.82583455252188,2.91065972115909,-0.970857064458421,0.33161946138449,1,"genus"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum",3082.93978617128,1.87778797816269,1.95225657334576,0.961855118738086,0.33612238609447,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",113234.052486777,-1.85963667218223,1.97549910441607,-0.941350298780276,0.346525374517833,1,"species"
"k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Lactococcus_phage_bIL285",56.4778469366002,2.6963966889337,2.92367013359276,0.92226433411632,0.356390712906745,1,"species"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis",1.62863372780175,2.70448689684137,2.97476993278331,0.909141532942328,0.363275421608751,1,"species"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania",3379.04848651714,-1.68999716649172,1.87093526274822,-0.903290028330155,0.366371987432393,1,"genus"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_lavalense",9888.59932035757,-2.62663132339607,2.91025449145373,-0.902543516764409,0.366768215670527,1,"species"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis",263.661672727803,-2.58682218770453,2.9114948086393,-0.888485935138413,0.374279418165365,1,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_N6H1_15",266.180781207444,2.58631230917964,2.91595685422981,0.886951501160932,0.375105012236145,1,"species"
