"Gene","Estimate","Std. Error","df","t value","Pr(>|t|)","score","padj"
"IFNG",-0.0355802497918613,0.149885920894431,19.4861386863219,-0.23738220094015,0.814838239189885,"sppb_score",0.999145803413394
"YWHAZ",0.0311061405443137,0.130705127153249,15.0761784839272,0.237987148796714,0.81509524864726,"sppb_score",0.999145803413394
"NEG_A",0.0265058741800428,0.11980307038346,13.2606926694654,0.221245366209764,0.828271817463363,"sppb_score",0.999145803413394
"HAVCR2",-0.0274182281771879,0.1283112152971,13.4042788832169,-0.213685359566597,0.834008478041614,"sppb_score",0.999145803413394
"TIGIT",0.0246431420419272,0.116813368725954,12.3654472623857,0.210961658846946,0.83635389445333,"sppb_score",0.999145803413394
"NEG_D",-0.0177903191196218,0.0844153531767402,9.16751419562449,-0.210747434561747,0.837694390487504,"sppb_score",0.999145803413394
"KIR.Activating.Subgroup.1",0.021503484383325,0.108482728632472,10.0350817077073,0.198220349491544,0.846830667515456,"sppb_score",0.999145803413394
"POS_C",-0.0230360630950436,0.118608841053309,13.6413126266086,-0.194218768942275,0.848867109049777,"sppb_score",0.999145803413394
"CCR4",-0.028779705562501,0.149366328084366,17.8698709783005,-0.192678670832997,0.849383464901581,"sppb_score",0.999145803413394
"CD160",0.0362272962788416,0.191956639029596,30.1833652521581,0.188726456464244,0.851570465817572,"sppb_score",0.999145803413394
"B3GAT1",-0.0335897272287009,0.180100930138252,28.8531648918599,-0.186505018063573,0.853353898282994,"sppb_score",0.999145803413394
"CTLA4",0.0204714950070613,0.112730342260779,10.6507958943946,0.181597026998326,0.859308698171695,"sppb_score",0.999145803413394
"PDCD1",-0.0207649239646732,0.117327693048228,12.4854571115535,-0.176982291436837,0.862360958907162,"sppb_score",0.999145803413394
"KIR_Inhibiting_Subgroup_1",-0.0183349391177376,0.11387673791607,11.6521759994591,-0.161006887387755,0.874845714825772,"sppb_score",0.999145803413394
"Tcell.Senescence",0.0212114078701188,0.135854790142703,15.0520013538559,0.156132940530386,0.878003019173096,"sppb_score",0.999145803413394
"NEG_B",0.0166881457009627,0.107547054925494,11.2758551018682,0.155170643329321,0.879429681218808,"sppb_score",0.999145803413394
"TBX21",0.0245272387253355,0.168222312783227,20.3958314468031,0.145802529519027,0.885508657726887,"sppb_score",0.999145803413394
"PVRIG",0.0201181155066572,0.145043022683715,20.3658140740802,0.13870446943544,0.891046064447758,"sppb_score",0.999145803413394
"CD127",-0.0154369293111381,0.134232885146267,15.3264180578847,-0.115001098980457,0.909937405167867,"sppb_score",0.999145803413394
"TNFRSF14",0.0149905382938403,0.13804979660456,20.452657108938,0.108587905687252,0.914587630310272,"sppb_score",0.999145803413394
"SPI1",-0.00995856318847652,0.0921985697836912,9.13114384244055,-0.108012122225328,0.916322296516491,"sppb_score",0.999145803413394
"POS_B",-0.00924798752277358,0.108225416988368,12.0615930620223,-0.0854511609206137,0.933304778972497,"sppb_score",0.999145803413394
"BCL6",-0.00740717140425873,0.0946156535238396,9.48928444477582,-0.0782869549423173,0.93922589040713,"sppb_score",0.999145803413394
"POS_D",0.00849712122422835,0.122742822134961,15.2365749255538,0.0692270315805955,0.945709290660583,"sppb_score",0.999145803413394
"PTPRC_3",0.00957684976588124,0.148198813574897,18.7584285988838,0.0646216358610813,0.949158953027892,"sppb_score",0.999145803413394
"NECTIN2",-0.00671104421292252,0.105958710129556,10.4434005786742,-0.063336409104234,0.9506945650509,"sppb_score",0.999145803413394
"CCR6",-0.00892361661851503,0.159212557383782,17.7224006775201,-0.0560484472151568,0.955930270251743,"sppb_score",0.999145803413394
"LAG3",0.00895744149229774,0.170444055373699,20.5619034502675,0.0525535576624163,0.958594851704063,"sppb_score",0.999145803413394
"KIR_Activating_Subgroup_2",-0.00420432032954364,0.114424772702267,11.8369054525271,-0.0367430953127892,0.971302227282637,"sppb_score",0.999145803413394
"RORA",0.00523165219532804,0.149121640935037,19.6739279585465,0.035083118469754,0.972366979648286,"sppb_score",0.999145803413394
"NEG_G",-0.00241462759418871,0.130910585881449,17.9575540937918,-0.01844486126107,0.985487359190109,"sppb_score",0.999145803413394
"EGR1",-0.000864575403096651,0.0890353202602253,8.92913804115785,-0.00971047670261351,0.992465774786066,"sppb_score",0.999145803413394
"CD96",-0.387368430674635,0.192138642430987,20.6275740302333,-2.01608810062125,0.0570008363100249,"blessed_score",0.977133978113962
"RORA",-0.383511014122046,0.191397825688848,22.518003059887,-2.00373756985888,0.0572742324955561,"blessed_score",0.977133978113962
"GZMB",0.307656085658375,0.155611645691783,8.60720422852541,1.97707622903586,0.0808897406592526,"blessed_score",0.977133978113962
"GRAIL",0.374954491895123,0.208526555127575,24.9935898885054,1.79811387410936,0.0842500462104338,"blessed_score",0.977133978113962
"IL6",0.293099734693886,0.165689582057856,13.4957792707435,1.76896900247802,0.099480911276095,"blessed_score",0.977133978113962
"CD86",0.406197892784047,0.237917695103256,22.9794163522432,1.70730425329549,0.101243690229002,"blessed_score",0.977133978113962
"EOMES",-0.306811509018185,0.193569721938153,24.9896084305342,-1.58501808002913,0.125536876878595,"blessed_score",0.977133978113962
"RORC",-0.308437077101131,0.19816144736372,24.9924931943575,-1.5564938649999,0.132164476006335,"blessed_score",0.977133978113962
"PTPRC_3",-0.285195314672989,0.184917167535077,24.0197992933524,-1.54228684375067,0.136076896333507,"blessed_score",0.977133978113962
"ADORA2A",-0.263162633068045,0.169538174822436,18.1866213787844,-1.55223231194783,0.137834899292711,"blessed_score",0.977133978113962
"SPI1",0.325679102872156,0.221493557267794,17.8823495111866,1.47037731882376,0.15883620674679,"blessed_score",0.977133978113962
"TNF",-0.29371592571743,0.215240214951961,24.6197973912242,-1.3645959505429,0.18472368396034,"blessed_score",0.977133978113962
"KLRG1",-0.290103356095319,0.213872496069116,23.6564875630592,-1.35643133842496,0.187767312367316,"blessed_score",0.977133978113962
"YWHAZ",-0.249416709110063,0.189827221512938,24.6657869745954,-1.31391434338127,0.200964641471294,"blessed_score",0.977133978113962
"AHR",0.232083607985992,0.176454298825228,19.1109970651991,1.3152618526787,0.20398500856439,"blessed_score",0.977133978113962
"EGR1",0.262165898330915,0.203644548555684,23.2074650567772,1.28737007786501,0.210656768668964,"blessed_score",0.977133978113962
"ITCH",-0.279432500436978,0.21840615307781,24.9827486429172,-1.27941679526505,0.212505694039682,"blessed_score",0.977133978113962
"PGK1",0.230324998043702,0.183181387852626,15.6149145566848,1.25736026319991,0.227104393863427,"blessed_score",0.977133978113962
"Tcell.Senescence",-0.261225504022695,0.212014781394826,23.7616882174906,-1.23210986660513,0.229961639366428,"blessed_score",0.977133978113962
"CD8A",-0.23397473398893,0.192735196738539,23.6483663776661,-1.21396993360967,0.236744090760666,"blessed_score",0.977133978113962
"TGFB1",-0.228825185551563,0.189074108457835,24.8667354948767,-1.21024072210602,0.23756540817857,"blessed_score",0.977133978113962
"NEG_C",-0.221415187448757,0.183034410888744,24.9269687276758,-1.20969158954128,0.237745203994606,"blessed_score",0.977133978113962
"CCR4",0.225297285968997,0.186804158532789,24.8798647911659,1.2060614053699,0.239138162700333,"blessed_score",0.977133978113962
"PVR",0.214739164950751,0.182778699226318,22.2395874317807,1.17485880936738,0.252477505967385,"blessed_score",0.977133978113962
"CD80",0.216796623087954,0.190556706898445,24.0720550858575,1.13770135208882,0.266442922072917,"blessed_score",0.977133978113962
"FOXO1",-0.201804629425264,0.182427822437563,21.5535996550518,-1.10621629271671,0.280827565520159,"blessed_score",0.977133978113962
"CD160",-0.221466754501689,0.199119613377635,17.6934831740411,-1.11222973339986,0.280923661703662,"blessed_score",0.977133978113962
"RUNX3",-0.222846251199989,0.205446460911051,24.8382445920535,-1.0846925773838,0.2884743694821,"blessed_score",0.977133978113962
"NEG_B",-0.242665381449508,0.228975786857678,19.759234018494,-1.05978621049718,0.302025505262329,"blessed_score",0.977133978113962
"CD28",-0.197816144473321,0.187463139416353,23.3633970332772,-1.05522688401145,0.302112106202891,"blessed_score",0.977133978113962
"PDCD1LG2",-0.181338092036482,0.172465259056518,22.4344130047665,-1.05144707420209,0.304247731330022,"blessed_score",0.977133978113962
"CXCR3",-0.184362534275568,0.177527657626788,23.1651217280254,-1.0385003482846,0.30975616083521,"blessed_score",0.977133978113962
"HAVCR2",0.184773130103212,0.180317617368073,16.2405483159268,1.02470924804893,0.320522228624667,"blessed_score",0.977133978113962
"CD3E",-0.198491734766763,0.199161143441453,24.4426792352155,-0.996638859050901,0.328704653718924,"blessed_score",0.977133978113962
"LAG3",-0.196300332371801,0.199480229145559,21.3506154918789,-0.98405908802402,0.336107369732591,"blessed_score",0.977133978113962
"C10orf54",0.186523740821823,0.196070365778908,23.0386921005284,0.951310209887352,0.351321232007442,"blessed_score",0.977133978113962
"IL.10",0.169556315050353,0.184328640863469,22.9663945011021,0.919858760180098,0.367207892948573,"blessed_score",0.977133978113962
"IL.21",0.224730639378744,0.253364154051419,24.9976685052688,0.886986717675682,0.383540525630863,"blessed_score",0.977133978113962
"CD244",0.170574761342602,0.19342918352201,24.5409850226456,0.881846049477807,0.386416057617303,"blessed_score",0.977133978113962
"CDKN1B",-0.230436373331112,0.282396481674863,20.0987840948283,-0.816002989712968,0.424064316165922,"blessed_score",0.999145803413394
"UBC",-0.138006655805188,0.172102846472202,18.1564814565243,-0.801884795249329,0.432990079921561,"blessed_score",0.999145803413394
"IFNG",-0.144941023793885,0.19053478882545,24.6320132434268,-0.760706350201832,0.454053409349031,"blessed_score",0.999145803413394
"IL2RA",0.16014425089985,0.215709440300545,24.3153365145611,0.742407243172684,0.464952689821841,"blessed_score",0.999145803413394
"KIR.Activating.Subgroup.1",-0.131191185057409,0.178623019841882,22.8366252902272,-0.734458443114107,0.470144342935655,"blessed_score",0.999145803413394
"SPN",-0.129467211747253,0.179180416638078,24.1897208425373,-0.722552241904653,0.476883202618529,"blessed_score",0.999145803413394
"CD200R1",0.114153746058054,0.178403822148566,22.1157739330164,0.639861549395461,0.528836161138423,"blessed_score",0.999145803413394
"VTCN1",0.16783566084901,0.263882931217771,24.9976250867783,0.636023179197227,0.530542009944705,"blessed_score",0.999145803413394
"ZBTB7B",-0.118856570253486,0.201531054522318,21.8818339244445,-0.589768016324866,0.561387285389333,"blessed_score",0.999145803413394
"POS_B",0.101948362870142,0.178793371789845,16.4931823479477,0.570202138085821,0.576226555062999,"blessed_score",0.999145803413394
"NECTIN2",0.0919832924485338,0.169738526698393,14.1521576467966,0.541911693460013,0.596309086982347,"blessed_score",0.999145803413394
"NEG_G",-0.100736646895465,0.18864146321126,24.7923376076068,-0.534011161600511,0.598089979507676,"blessed_score",0.999145803413394
"B3GAT1",0.111187205032896,0.216541399577849,24.9917502400243,0.513468580371498,0.612133378524284,"blessed_score",0.999145803413394
"CD4",-0.0967573828508582,0.189355878201568,24.9962165412702,-0.510981669910773,0.613847772257731,"blessed_score",0.999145803413394
"IL.2",-0.0945020332597415,0.18668530711313,24.1757481214749,-0.506210342533672,0.617294283887952,"blessed_score",0.999145803413394
"TIGIT",-0.0917732870696321,0.193692373793904,24.6482754167086,-0.473809501489626,0.63980582503603,"blessed_score",0.999145803413394
"PDCD1",0.0943930526048938,0.199399640356818,13.6663893828459,0.473386273094481,0.643410221094533,"blessed_score",0.999145803413394
"HPRT1",0.0782187272665239,0.180841214153015,23.6093514769862,0.432527107456494,0.66928360259202,"blessed_score",0.999145803413394
"CDKN2A..p16.",0.0800847023789699,0.19291745918822,24.9812098213836,0.415124181688685,0.681594782172009,"blessed_score",0.999145803413394
"NEG_F",0.0688001476722877,0.167258214644865,9.59962218169656,0.411340918700881,0.689854967753713,"blessed_score",0.999145803413394
"POS_C",0.0730413561821185,0.181599055795003,17.7176994981004,0.402212202383755,0.692338707510468,"blessed_score",0.999145803413394
"PVRIG",0.0794833607582482,0.205394609137389,19.3687331273433,0.386978806756713,0.702990965590017,"blessed_score",0.999145803413394
"BTLA",-0.0689872936010087,0.186648984033832,16.8274419583309,-0.369609799689583,0.716283503416949,"blessed_score",0.999145803413394
"CD276",0.0666849026124275,0.181636549100274,24.0520518540896,0.36713372359664,0.716729761778715,"blessed_score",0.999145803413394
"KIR_Inhibiting_Subgroup_2",-0.0615740984524647,0.173384606071875,15.6519231142742,-0.355130134372711,0.727232321442685,"blessed_score",0.999145803413394
"POS_E",-0.061676265794273,0.175613148604535,15.023161087406,-0.351205284367187,0.730311160890755,"blessed_score",0.999145803413394
