"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs","padj"
"IL6",0.293099734693886,0.165689582057856,13.4957792707435,1.76896900247802,0.099480911276095,97.0655861476286,103.726608698505,0.610358283528804,0.105388202958539,0.564457211765186,0.442384893388048,28,0.977133978113962
"CD86",0.406197892784047,0.237917695103256,22.9794163522432,1.70730425329549,0.101243690229002,96.404722384714,103.06574493559,0.564386647091301,0.126233482534554,0.501453369748829,0.49479083880251,28,0.977133978113962
"EOMES",-0.306811509018185,0.193569721938153,24.9896084305342,-1.58501808002913,0.125536876878595,97.2166751320716,103.877697682948,0.38966912134558,0.125496928385739,0.302082635881656,0.649395374106302,28,0.977133978113962
"RORC",-0.308437077101131,0.19816144736372,24.9924931943575,-1.5564938649999,0.132164476006335,97.4079576306694,104.068980181545,0.626320025090895,0.117310577671275,0.576657468123662,0.443000304544635,28,0.977133978113962
"PTPRC_3",-0.285195314672989,0.184917167535077,24.0197992933524,-1.54228684375067,0.136076896333507,97.4119509439512,104.072973494827,0.55161181970895,0.102036253419952,0.50066115475289,0.498404228058201,28,0.977133978113962
"ADORA2A",-0.263162633068045,0.169538174822436,18.1866213787844,-1.55223231194783,0.137834899292711,97.5937920516496,104.254814602526,0.569891735946954,0.0976721261956142,0.523334835884402,0.479827663482289,28,0.977133978113962
"SPI1",0.325679102872156,0.221493557267794,17.8823495111866,1.47037731882376,0.15883620674679,97.5339357868903,104.194958337766,0.635132748579901,0.0812969579507563,0.602845277831853,0.423633201545444,28,0.977133978113962
"TNF",-0.29371592571743,0.215240214951961,24.6197973912242,-1.3645959505429,0.18472368396034,97.7513770448896,104.412399595766,0.605241305218758,0.086312436286543,0.567950018738525,0.453494480480272,28,0.977133978113962
"KLRG1",-0.290103356095319,0.213872496069116,23.6564875630592,-1.35643133842496,0.187767312367316,97.593818114815,104.254840665691,0.44095041894274,0.103555446885747,0.376370151265777,0.599608663553093,28,0.977133978113962
"YWHAZ",-0.249416709110063,0.189827221512938,24.6657869745954,-1.31391434338127,0.200964641471294,97.932195049675,104.593217600551,0.476577124669954,0.0914322739574973,0.423903292702298,0.563044609993601,28,0.977133978113962
"AHR",0.232083607985992,0.176454298825228,19.1109970651991,1.3152618526787,0.20398500856439,98.1024595458184,104.763482096694,0.519635432704553,0.079658649431214,0.478058258494445,0.520360944769109,28,0.977133978113962
"EGR1",0.262165898330915,0.203644548555684,23.2074650567772,1.28737007786501,0.210656768668964,97.9371047459925,104.598127296869,0.554530608201265,0.0797693845111178,0.515915484335332,0.493481929385713,28,0.977133978113962
"ITCH",-0.279432500436978,0.21840615307781,24.9827486429172,-1.27941679526505,0.212505694039682,97.8438138362317,104.504836387108,0.356750428951569,0.10496788200592,0.281311186362716,0.676614236817799,28,0.977133978113962
"PGK1",0.230324998043702,0.183181387852626,15.6149145566848,1.25736026319991,0.227104393863427,98.4347759502746,105.095798501151,0.620145790748217,0.0670805520476354,0.592832789491619,0.435101087329406,28,0.977133978113962
"Tcell.Senescence",-0.261225504022695,0.212014781394826,23.7616882174906,-1.23210986660513,0.229961639366428,98.0324548716654,104.693477422541,0.342785762514472,0.0966942339132996,0.272434360368681,0.684827260285022,28,0.977133978113962
"CD8A",-0.23397473398893,0.192735196738539,23.6483663776661,-1.21396993360967,0.236744090760666,98.2783205072254,104.939343058101,0.335750828442978,0.0964669684379378,0.264831336150885,0.692768417906824,28,0.977133978113962
"TGFB1",-0.228825185551563,0.189074108457835,24.8667354948767,-1.21024072210602,0.23756540817857,98.3766870917858,105.037709642662,0.310408444771226,0.0993051279166278,0.234378282143764,0.717265992813117,28,0.977133978113962
"NEG_C",-0.221415187448757,0.183034410888744,24.9269687276758,-1.20969158954128,0.237745203994606,98.9728927765056,105.633915327382,0.123266231739607,0.103520238858148,0.022026144635222,0.904678016704751,28,0.977133978113962
"CCR4",0.225297285968997,0.186804158532789,24.8798647911659,1.2060614053699,0.239138162700333,98.2319989966216,104.893021547498,0.484893293899703,0.08817930428549,0.435078948612089,0.557961813744485,28,0.977133978113962
"PVR",0.214739164950751,0.182778699226318,22.2395874317807,1.17485880936738,0.252477505967385,98.4139436147269,105.074966165603,0.54449849615571,0.0717186606970832,0.509306624448204,0.500861454345301,28,0.977133978113962
"CD80",0.216796623087954,0.190556706898445,24.0720550858575,1.13770135208882,0.266442922072917,98.3585587739671,105.019581324843,0.42992681352077,0.0857801688506745,0.376437518575206,0.605477039624229,28,0.977133978113962
"FOXO1",-0.201804629425264,0.182427822437563,21.5535996550518,-1.10621629271671,0.280827565520159,98.6149798734506,105.276002424327,0.567147361967384,0.0745877473341143,0.53225966396525,0.484707386864942,28,0.977133978113962
"CD160",-0.221466754501689,0.199119613377635,17.6934831740411,-1.11222973339986,0.280923661703662,98.3259037382416,104.986926289118,0.435077613496009,0.0896658574559516,0.379434034051232,0.605210881711869,28,0.977133978113962
"RUNX3",-0.222846251199989,0.205446460911051,24.8382445920535,-1.0846925773838,0.2884743694821,98.8303852391255,105.491407790002,0.173266285941545,0.0936387364104308,0.0878540960761667,0.848552205823507,28,0.977133978113962
"NEG_B",-0.242665381449508,0.228975786857678,19.759234018494,-1.05978621049718,0.302025505262329,98.1673456254696,104.828368176346,0.422050018683622,0.089181312998565,0.365460997271494,0.616997279236091,28,0.977133978113962
"CD28",-0.197816144473321,0.187463139416353,23.3633970332772,-1.05522688401145,0.302112106202891,98.5781786910005,105.239201241877,0.505801090892503,0.0734321234360059,0.466634963711302,0.536170344518593,28,0.977133978113962
"PDCD1LG2",-0.181338092036482,0.172465259056518,22.4344130047665,-1.05144707420209,0.304247731330022,98.7724926791118,105.433515229988,0.392832415125832,0.0819615731548975,0.33862508679431,0.636236938766999,28,0.977133978113962
